0:0:0:0:0:0:0:1 - - [01/Oct/2024:15:56:38 +0900] "GET /webPro/javascript/days05/ex05.html HTTP/1.1" 200 1704
0:0:0:0:0:0:0:1 - - [01/Oct/2024:15:57:28 +0900] "GET /webPro/javascript/days05/ex05.html HTTP/1.1" 200 1720
0:0:0:0:0:0:0:1 - - [01/Oct/2024:15:58:11 +0900] "GET /webPro/javascript/days05/ex05.html HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [01/Oct/2024:15:58:30 +0900] "GET /webPro/javascript/days05/ex05.html HTTP/1.1" 200 1774
0:0:0:0:0:0:0:1 - - [01/Oct/2024:15:59:58 +0900] "GET /webPro/javascript/days05/ex04_04.html HTTP/1.1" 200 1521
0:0:0:0:0:0:0:1 - - [01/Oct/2024:16:02:44 +0900] "GET /webPro/javascript/days05/ex04_04.html HTTP/1.1" 200 1427
0:0:0:0:0:0:0:1 - - [01/Oct/2024:16:03:49 +0900] "GET /webPro/javascript/days05/ex04_04.html HTTP/1.1" 200 1409
0:0:0:0:0:0:0:1 - - [01/Oct/2024:16:03:49 +0900] "GET /webPro/javascript/days05/ex04_04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2024:16:17:56 +0900] "GET /webPro/javascript/days05/ex05.html HTTP/1.1" 200 1784
0:0:0:0:0:0:0:1 - - [01/Oct/2024:16:17:57 +0900] "GET /webPro/javascript/days05/ex05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2024:16:17:57 +0900] "GET /webPro/javascript/days05/ex05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2024:16:21:04 +0900] "GET /webPro/javascript/days05/ex06.html HTTP/1.1" 200 1198
0:0:0:0:0:0:0:1 - - [01/Oct/2024:16:22:06 +0900] "GET /webPro/javascript/days05/ex06.html HTTP/1.1" 200 1332
0:0:0:0:0:0:0:1 - - [01/Oct/2024:16:24:20 +0900] "GET /webPro/javascript/days05/ex05.html HTTP/1.1" 200 2611
0:0:0:0:0:0:0:1 - - [01/Oct/2024:16:25:18 +0900] "GET /webPro/javascript/days05/ex06.html HTTP/1.1" 200 1765
0:0:0:0:0:0:0:1 - - [01/Oct/2024:16:26:06 +0900] "GET /webPro/javascript/days05/ex06.html HTTP/1.1" 200 1694
0:0:0:0:0:0:0:1 - - [01/Oct/2024:16:27:58 +0900] "GET /webPro/javascript/days05/ex06.html HTTP/1.1" 200 2125
0:0:0:0:0:0:0:1 - - [01/Oct/2024:16:27:58 +0900] "GET /webPro/javascript/days05/ex06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2024:16:27:58 +0900] "GET /webPro/javascript/days05/ex06.html HTTP/1.1" 304 -
